Date,Name,Day,Work Time,Clock In,Clock Out,Absent,ATT_Time,RND(ATT_Time),OT Time,Real Day
2025-06-01,Admin,Sunday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-02,Admin,Monday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-03,Admin,Tuesday,08:42,08:18,17:18,,8.7,9,0,1.0
2025-06-04,Admin,Wednesday,07:44,08:16,17:00,,7.73,8,0,1.0
2025-06-05,Admin,Thursday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-06,Admin,Friday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-07,Admin,Saturday,06:01,08:25,14:26,,6.02,6,0,0.5
2025-06-08,Admin,Sunday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-09,Admin,Monday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-10,Admin,Tuesday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-11,Admin,Wednesday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-12,Admin,Thursday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-13,Admin,Friday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-14,Admin,Saturday,07:01,08:15,15:16,,7.02,7,0,1.0
2025-06-15,Admin,Sunday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-16,Admin,Monday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-17,Admin,Tuesday,08:16,08:43,17:18,,8.27,8,0,1.0
2025-06-18,Admin,Wednesday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-19,Admin,Thursday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-20,Admin,Friday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-21,Admin,Saturday,06:08,08:43,14:52,,6.13,6,0,0.5
2025-06-22,Admin,Sunday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-23,Admin,Monday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-24,Admin,Tuesday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-25,Admin,Wednesday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-26,Admin,Thursday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-27,Admin,Friday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-28,Admin,Saturday,06:15,08:15,14:30,,6.25,6,0,0.5
2025-06-29,Admin,Sunday,0:00,08:00,17:00,True,0.0,0,0,0.0
2025-06-30,Admin,Monday,0:00,08:00,17:00,True,0.0,0,0,0.0
